cid,doctor,geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108759,"Reginald F. Rose, DMD","Pell CIty, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108761,"Kevin D. Givens, DDS","Tucson, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108766,"Samuel A. McGuire, DMD","Kalamazoo, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108767,"Walter E. Schneider, DDS","Longmont, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108768,"Eric J. Amundson, DDS","Tallahassee, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108769,"Kenneth D. Sullivan, DMD","Cape Girardeau, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108770,"Paul D. Larsen, DDS","Peoria, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108771,"Thomas Michael O'Hara, DDS","Bellevue, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108773,"Saima Yusaf, DDS","Rockford, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108774,"Michael R. McClure, DDS","St. Clairsville, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108775,"Nicole A. Middleton, DDS","Bowling Green, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108776,"Sherri J. Dale McGee, DDS","Jessup, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108777,"Arlene A. Kellum, DDS","Bluff City, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122183,"Jennifer Alston-Sako, DDS","Bedford, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122188,"David E. Riddick, DDS","Hopkinsville, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122191,"Steven B. Nicholas, DDS","Barboursville, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122193,"J. Haywood Baker, DMD","Albertville, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122196,"William Y. Young, DDS","Commerce, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122200,"Randle L. Wells, DDS","Augusta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
