National Type,Sales Rep,Account Name,Business Name,Corporate Account,Segment,First ,Last,Email,Primary Phone,Products,Site Type,Existing Domain,Sponsored Budget, Yodle Web , Organic Fee , Account Setup,Payment Type,Address 1,Address 2,City,State,Zip,Address Display,Template ID,Service Group,Mobile Logo,Franchise Location ID,Lead Destination Email,Lead Destination Number,Web Address for Distribution,Web Address for Ad Copy (Display URL),Record Calls? (Yes/No),Whisper? (Yes/No),Tagline,Business description,Show Hours on Website? (Yes/No),Emergency Services Available 24/7? (Yes/No),Open 24/7? (Yes/No),Monday? ,Monday Open,Monday Closed,Tuesay?,Tuesday Open,Tuesday Closed,Wednesday,Wednesday Open,Wednesday Closed,Thursday?,Thursday Open,Thursday Closed,Friday? ,Friday Open,Friday Closed,Saturday? ,Saturday Open,Saturday Closed,Sunday?,Sunday Open,Sunday Closed,Cash,MasterCard,Visa,Discover,CareCredit,Mobile/Stationary,Area Served Description,Custom Campaign Notes,Include a Name Campaign? (Yes/No),CSC Completed Date,IMS Projected Launch Date,Field Entry,Descroption of Business,URL of Existing Website Containing Copy,Organic Domain,Unique Selling Propositions,Notes,Web Address Client-Side,Web Address for Advertising
Corporate Spend,Ari Katz,Affordable Dentures - Moyock,Affordable Dentures,Affordable Dentures,Dentist,Dennis,"D. Gaskin, DDS ",ad123@ad123.com,(252) 435-6335,"Sponsored, Organic",AdverSite,,$475.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,107 Lazy Corner Road,P.O. Box 356,Moyock,NC,27958,Show Full Address,2139,Dentures,logo.png,1009,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Moyock.com,affordabledentures-Moyock.com,Yes,No,"Dennis D. Gaskin, DDS, PA","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Moyock, NC and opened in 1976.",Yes,No,No,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,6:00 PM,Yes,Yes,Yes,Yes,no,Stationary,"Moyock, NC",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/moyock,affordabledentures.com/office/moyock,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/moyock,affordabledentures-Moyock.com
Corporate Spend,Ari Katz,Affordable Dentures - Chester,Affordable Dentures,Affordable Dentures,Dentist,Steven,"M. Hedges, DMD ",ad123@ad123.com,(804) 748-4546,"Sponsored, Organic",AdverSite,,$975.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,11846 Perdue Springs Court,,Chester,VA,23831,Show Full Address,2139,Dentures,logo.png,2011,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Chester.com,affordabledentures-Chester.com,Yes,No,"Steven M. Hedges, DMD, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Chester, VA and opened in 1984. ",Yes,No,No,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,7:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Chester, VA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/chester,affordabledentures.com/office/chester,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/chester,affordabledentures-Chester.com
Corporate Spend,Ari Katz,Affordable Dentures - Rocky Gap,Affordable Dentures,Affordable Dentures,Dentist,John,"J. Doyle, DDS ",ad123@ad123.com,(276) 928-1520,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,12080 N. Scenic Hwy.,P.O. Box 150,Rocky Gap,VA,24366,Show Full Address,2139,Dentures,logo.png,2012,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-RockyGap.com,affordabledentures-RockyGap.com,Yes,No,"John J. Doyle, DDS, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services.í_ We are located in Rocky Gap, VA and opened in 1984.",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,8:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Rocky Gap, VA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/rocky-gap,affordabledentures.com/office/rocky-gap,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/rocky-gap,affordabledentures-RockyGap.com
Corporate Spend,Ari Katz,Affordable Dentures - Winchester,Affordable Dentures,Affordable Dentures,Dentist,Eric,"Y. Lee, DDS ",ad123@ad123.com,(540) 868-9845,"Sponsored, Organic",AdverSite,,$775.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,150 Prosperity Dr.,,Winchester,VA,22602,Show Full Address,2139,Dentures,logo.png,2016,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Winchester.com,affordabledentures-Winchester.com,Yes,No,"Eric Y. Lee, DDS, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Winchester, VA and opened in 1989. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,9:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Winchester, VA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/winchester,affordabledentures.com/office/winchester,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/winchester,affordabledentures-Winchester.com
Corporate Spend,Ari Katz,Affordable Dentures - South Hill,Affordable Dentures,Affordable Dentures,Dentist,Yolanda,"C. Robinson, DDS ",ad123@ad123.com,(434) 447-2492,"Sponsored, Organic",AdverSite,,$475.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,1165 East Atlantic Street,,South Hill,VA,23970,Show Full Address,2139,Dentures,logo.png,2156,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-SouthHill.com,affordabledentures-SouthHill.com,Yes,No,"Yolanda C. Robinson, DDS, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in South Hill, VA and opened in 2009. ",Yes,No,No,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Hours,7:00 AM,4:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,10:00 PM,Yes,Yes,Yes,Yes,no,Stationary,"South Hill, VA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/south-hill,affordabledentures.com/office/south-hill,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/south-hill,affordabledentures-SouthHill.com
Corporate Spend,Ari Katz,Affordable Dentures - Woodbridge,Affordable Dentures,Affordable Dentures,Dentist,Mesfin,"Zelleke, DDS  ",ad123@ad123.com,(703) 491-0570,"Sponsored, Organic",AdverSite,,$775.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,14228 Smoketown Road,Prince William Shopping Center,Woodbridge,VA,22192,Show Full Address,2139,Dentures,logo.png,2167,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Woodbridge.com,affordabledentures-Woodbridge.com,Yes,No,"Mesfin Zelleke,DDS, í_P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Woodbridge, VA and opened in 2010. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,11:00 PM,Yes,Yes,Yes,Yes,yes,Stationary,"Woodbridge, VA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/woodbridge,affordabledentures.com/office/woodbridge,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/woodbridge,affordabledentures-Woodbridge.com
Corporate Spend,Ari Katz,Affordable Dentures - Suffolk,Affordable Dentures,Affordable Dentures,Dentist,Lynne,"Faxio, DDS  ",ad123@ad123.com,(757) 934-6040,"Sponsored, Organic",AdverSite,,$775.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,"2999 Corporate Lane, Suite B11",Shops at Godwin Marketplace,Suffolk,VA,23434,Show Full Address,2139,Dentures,logo.png,2174,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Suffolk.com,affordabledentures-Suffolk.com,Yes,No,"Lynne C. Faxio, DDS, P.C.",Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Virginia Beach and opened in 2010. ,Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,12:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Suffolk, VA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/suffolk-va,affordabledentures.com/office/suffolk-va,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/suffolk-va,affordabledentures-Suffolk.com
Corporate Spend,Ari Katz,Affordable Dentures - Virginia Beach,Affordable Dentures,Affordable Dentures,Dentist,Dennis,"D. Gaskin, DDS ",ad123@ad123.com,(757) 463-5105,"Sponsored, Organic",AdverSite,,$975.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,"3980 Virginia Beach Blvd., Suite 103",Loehmann's Plaza,Virginia Beach,VA,23452,Show Full Address,2139,Dentures,logo.png,2201,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-VABeach.com,affordabledentures-VABeach.com,Yes,No,"Dennis D. Gaskin, DDS, P.C.","Dennis D. Gaskin, DDS, is a general dentist and practice owner of this Affordable Dentures & Crowns location, which opened in 2012. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,1:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Va Beach, VA",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/virginia-beach,affordabledentures.com/office/virginia-beach,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/virginia-beach,affordabledentures-VABeach.com
Corporate Spend,Ari Katz,Affordable Dentures - Cookeville,Affordable Dentures,Affordable Dentures,Dentist,James,"I. Vinson, DDS ",ad123@ad123.com,(931) 526-5512,"Sponsored, Organic",AdverSite,,$575.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,Exit 288 off I-40 í_(1640 í_Salem Rd),P.O. Box 2665,Cookeville,TN,38506,Show Full Address,2139,Dentures,logo.png,3014,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-Cookeville.com,affordabledentures-Cookeville.com,Yes,No,"Affordable Dentures - Cookeville, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Cookeville, TN and opened in 1986. ",Yes,No,No,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Hours,7:30 AM,4:30 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,2:00 AM,Yes,Yes,Yes,Yes,no,Stationary,"Cookeville, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/cookeville,affordabledentures.com/office/cookeville,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/cookeville,affordabledentures-Cookeville.com
Corporate Spend,Ari Katz,Affordable Dentures - Lenoir City,Affordable Dentures,Affordable Dentures,Dentist,Michael,"E. Doyle, DDS ",ad123@ad123.com,(865) 986-3234,"Sponsored, Organic",AdverSite,,$675.00 ,$40.00 ,$49.00 ,$55.00 ,Corporate Parent Pays Accounts,16374 Hotchkiss Valley Road E,,Loudon,TN,37774,Show Full Address,2139,Dentures,logo.png,3015,Copy From Primary Contact,Copy from Primary Contact,affordabledentures-LenoirCity.com,affordabledentures-LenoirCity.com,Yes,No,"Affordable Dentures - Lenoir City, P.C.","Our practice proudly provides Affordable Dentures and related denture and tooth extraction services. We are located in Loudon, TN and opened in 1988. ",Yes,No,No,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Hours,8:00 AM,5:00 PM,Closed,9:00 AM,5:00 PM,Closed,9:00 AM,3:00 AM,Yes,Yes,Yes,Yes,yes,Stationary,"Lenoir City, TN",Competitor Campaign - Aspen Dental,Yes,6/30/13,8/1/13,Edit Business Info,Copy Description from Business Info,http://www.affordabledentures.com/office/lenoir-city-loudon,affordabledentures.com/office/lenoir-city-loudon,"Custom Denture Solutions
Patient Satisfaction Commitment
Individually Owned and Operated by a Licensed Dentist
Same-Day Service
On-Site Denture Lab
Flexible Financing Available",N/A,affordabledentures.com/office/lenoir-city-loudon,affordabledentures-LenoirCity.com
