client_id,primaryphonenumber,attribution_type,description,custom_group_id,referral,sub_referral,parameter_in_referrer_url,key,value,call_recording,whisper,status,primary_group,secondary_group,billed,test
30328,7182738980,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
30727,8082623747,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
31339,3343479564,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
31358,5137611238,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
31926,6087824054,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
32696,6148689820,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33031,5135223363,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33067,6087849000,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33164,9544214288,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33420,8082246603,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33747,5138292323,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33762,6369284090,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33766,4024882383,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33930,8084887868,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
33949,9158588699,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
35542,9038937751,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
36274,5135414444,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
36397,9259347755,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
36397,7076483600,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
36629,3523771705,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
36909,3193732524,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37538,9403212088,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37620,5107857010,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37712,8086809411,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37960,5024930191,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37965,9123563366,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37978,2257522220,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37988,6186280870,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37991,2088883332,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37993,9728811300,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
37999,9722791111,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
38104,9722836161,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
38141,5407857545,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
38916,2022965142,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
38958,8173360212,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
40036,2399454333,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
40140,8645742020,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
40286,4342966603,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
41506,9736808884,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
41939,8084881900,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
42000,8086770855,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
42074,4797542042,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
43248,6096242840,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
43928,5734740225,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
44861,8175713368,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
46384,3868600435,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
46558,3016951234,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
48097,9042691303,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
48707,7325736335,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49179,6107388686,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49370,6515524979,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49375,8656907637,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49381,8317287089,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49383,3136934187,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49385,6088339434,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
49393,4133156127,Custom,YDN3,YDN3,Paid,fx,yes,source,fx,On,On,Active,paid,fx,No,No
